Filter_obj_type_1,Filter_obj_type_2,Filter_obj_type_3,NoFilter_obj_type_1,NoFilter_obj_type_2,NoFilter_obj_type_3,E_laser,time
24578.936156502346,127.32155569419854,0.0001031381885227698,18169.473070013326,80.99701119973295,0.00011937706649013083,3.1,11.365280698053539
19051.315420074247,114.76779900388368,9.85509267879923e-05,14417.699946268343,77.84145355937255,0.00011406673219689825,3.2,11.337351481802761
8745.78029490247,63.52029308740316,6.96569192817978e-05,6004.180831059751,37.664208564927776,9.11053219951491e-05,3.3,11.63538414798677
20172.30389345003,114.4391950448246,9.438810101888322e-05,15426.579646942428,81.14106441292935,0.00010891167254694446,3.4,10.388131094413499
17868.01518576944,93.69745802286735,7.357104336475586e-05,12553.160694419983,47.59574536978357,9.044525352212366e-05,3.5,10.408710336126386
9857.451421513573,72.18965713412877,7.21044553347933e-05,7271.108488606085,48.52186702415642,8.834502252846147e-05,3.6,10.360655957957109
15837.087560386666,91.43072725271915,5.972889607038031e-05,9984.407788492508,34.362172534239505,7.982636045889635e-05,3.7,10.406767974669735
11382.447304708492,74.19722403085402,7.260539707216837e-05,8790.099642578953,54.094105441182904,8.604449714210308e-05,3.8,11.092454574878017
13944.421918796568,84.9964154663059,5.164770174210174e-05,9052.522577350392,21.359056876936506,7.039125234225404e-05,3.9,11.127513445851703
10862.268175840218,76.43717696939143,3.9889509739753734e-05,5841.248766440716,11.996109787526592,6.48814922250587e-05,4.0,11.214297909537951
7963.916127010878,58.29166954812436,5.428058673022661e-05,5441.029991414806,34.147269903970965,7.195445092800576e-05,4.1,11.348089705345531
5328.601422100238,52.08747997343721,5.5871525594493134e-05,3933.6269720792284,34.04908806607418,7.020379917382788e-05,4.2,11.336209159779052
7194.798490189432,74.77655129726202,6.268395505745533e-05,5876.057436983586,46.70500997942784,7.328636840436791e-05,4.3,11.327243389375507
11917.256747928703,86.49807063189994,2.7920150309373174e-05,5391.808723319785,1.6562236177701948,5.401232719052376e-05,4.4,11.400976303219796
10954.594989606194,83.54567765413472,2.0882670226641202e-05,5112.481539013723,17.264035781960075,4.725549653531273e-05,4.5,11.684147141501308
1683.5848246099001,25.9467275503533,1.6853707683382272e-05,1754.6462861802434,19.545520926096998,4.543362602353725e-05,4.6,10.43112791981548
2145.9603367205336,35.2196448559732,3.779787887775419e-05,1492.1509462635677,14.190039050231832,5.596611800985491e-05,4.7,10.39268866162747
